,Unnamed: 0,Average population,Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Total fertility rates[fn 1][5][7]
0,1900,2 231 000,66 229,35 345,30 884,29.7,15.8,13.8,4.4
1,1901,2 255 000,67 303,33 821,33 482,29.8,15.0,14.8,4.37
2,1902,2 276 000,66 494,31 670,34 824,29.2,13.9,15.3,4.26
3,1903,2 288 000,65 470,33 847,31 623,28.6,14.8,13.8,4.16
4,1904,2 298 000,64 143,32 895,31 248,27.9,14.3,13.6,4.07
5,1905,2 309 000,62 601,34 050,28 551,27.1,14.7,12.4,3.95
6,1906,2 319 000,62 091,31 668,30 423,26.8,13.7,13.1,3.92
7,1907,2 329 000,61 302,33 345,27 957,26.3,14.3,12.0,3.87
8,1908,2 346 000,61 686,33 366,28 320,26.3,14.2,12.1,3.87
9,1909,2 368 000,63 324,32 111,31 213,26.7,13.6,13.2,3.96
10,1910,2 384 000,61 486,32 207,29 279,25.8,13.5,12.3,3.82
11,1911,2 401 000,61 727,31 691,30 036,25.7,13.2,12.5,3.8
12,1912,2 423 000,61 409,32 663,28 746,25.3,13.5,11.9,3.72
13,1913,2 447 000,61 294,32 442,28 852,25.0,13.3,11.8,3.64
14,1914,2 472 000,62 111,33 280,28 831,25.1,13.5,11.7,3.62
15,1915,2 498 000,58 975,33 425,25 550,23.6,13.4,10.2,3.37
16,1916,2 522 000,61 120,34 910,26 210,24.2,13.8,10.4,3.43
17,1917,2 551 000,63 969,34 699,29 270,25.1,13.6,11.5,3.53
18,1918,2 578 000,63 468,44 218,19 250,24.6,17.2,7.5,3.44
19,1919,2 603 000,59 486,35 821,23 665,22.9,13.8,9.1,3.17
20,1920,2 635 000,69 326,33 634,35 692,26.3,12.8,13.5,3.61
21,1921,2 668 000,64 610,30 698,33 912,24.2,11.5,12.7,3.31
22,1922,2 695 000,62 908,32 484,30 424,23.3,12.1,11.3,3.18
23,1923,2 713 000,61 731,31 543,30 188,22.8,11.6,11.1,3.09
24,1924,2 729 000,58 021,30 850,27 171,21.3,11.3,10.0,2.85
